date,title,yt_id,url,active,registrant,debug
20120912,Mental - 30 second TVC,E19riq8XH5I,www.mentalmovie.com.au,True,Lok Lam Yu,
20120912,Mental - 15 second TVC,qWpJHTDdAZ8,www.mentalmovie.com.au,True,Lok Lam Yu,
20120920,Mama - TrailerAi,1TTBbGY2A38,www.mamamovie.com.au,False,,
20121003,The Man With The  Iron Fists - Green Band Trailer,aUd2-cDUkus,www.manwiththeironfistsmovie.com.au,False,,
20121003,Nitro Circus the Movie 3D - Official Trailer,N1fTYSTWokw,www.nitrocircusmovie.com.au,True,Spoon Family investments Pty Ltd,
20121025,Nitro Circus the Movie 3D - Trailer 1,MAaOFfcwAlE,www.nitrocircusmovie.com.au,True,Spoon Family investments Pty Ltd,
20121003,The Man With The  Iron Fists - Trailer B,eo0cwWDMOCA,www.manwiththeironfistsmovie.com.au,False,,
20121025,Jesus Christ Superstar Preview Clip,gH1QT4rv-ME,www.jesuschristsuperstarmovie.com.au,False,,
20121009,Jesus Christ Superstar - Trailer 1,AAjS17_U8mk,www.jesuschristsuperstarmovie.com.au,False,,
20121107,Snow White and the Huntsman -- Blu-ray and DVD release trailer,Q5lIY85mLlM,tinyurl.com,True,,
20121112,Jurassic Park 3D - Official Trailer,_bbA_cluYi0,www.jurassicpark3Dmovie.com.au,False,,
20121128,Great Expectations - Trailer 1,sGLRGaeCQrY,www.greatexpectationsmovie.com.au,False,,
20130411,Oblivion - New York Public Library,hATF3qU5b-o,www.oblivionmovie.com.au,False,,
20130411,Oblivion - New York Public Library,hATF3qU5b-o,www.oblivionmovie.com.au,False,,
20130405,Oblivion - Earl's Peak,fXpU0ARunb0,www.oblivionmovie.com.au,False,,
20130405,Oblivion - Earl's Peak,fXpU0ARunb0,www.oblivionmovie.com.au,False,,
20130214,OBLIVION - Official International Trailer - Official HD [Universal Pictures],M8QVnizh52M,www.oblivionmovie.com.au,False,,
20130321,Oblivion - A behind the scenes look at the Bubble Ship,4cJeuHH3o48,www.oblivionmovie.com.au,False,,
20130321,Oblivion - A behind the scenes look at the Bubble Ship,4cJeuHH3o48,www.oblivionmovie.com.au,False,,
20130321,Oblivion - A look inside the film with Tom Cruise,fFZ5X04EOUE,www.oblivionmovie.com.au,False,,
20130321,Oblivion - A look inside the film with Tom Cruise,fFZ5X04EOUE,www.oblivionmovie.com.au,False,,
20121210,OBLIVION - Trailer A,VUw2_EmnotA,www.oblivionmovie.com.au,False,,
20130328,Oblivion - On the Set of the Sky Tower,sK360_dKfFs,www.oblivionmovie.com.au,False,,
20130328,Oblivion - On the Set of the Sky Tower,sK360_dKfFs,www.oblivionmovie.com.au,False,,
20130411,Oblivion - On the set with M83,UcOhKqOCei4,www.oblivionmovie.com.au,False,,
20130411,Oblivion - On the set with M83,UcOhKqOCei4,www.oblivionmovie.com.au,False,,
20130116,This Is 40 - Girls All Grown Up,tTOlz5AUYAA,www.thisis40.com.au,False,,
20130116,This Is 40 - A look inside,De5S4UkZK7I,www.thisis40.com.au,False,,
20130116,This Is 40 - Dancing Machines,y5hFNEAB35s,www.thisis40.com.au,False,,
20130116,This Is 40 - Getting Healthy,HU7rLmvn-dc,www.thisis40.com.au,False,,
20130116,This Is 40 - Sales Girl Siren,1uGftlAPS1I,www.thisis40.com.au,False,,
20130116,This Is 40 - Bodies by Jason,esdda9CYK3g,www.thisis40.com.au,False,,
20130301,Identity Thief Trailer 1,DL-cZQ4E318,www.identitythiefmovie.com.au,False,,
20130301,Identity Thief Trailer B,gdgkq2Trgbk,www.identitythiefmovie.com.au,False,,
20130220,Identity Thief - Diana Orders At The Diner,-qZjC31d_40,www.identitythiefmovie.com.au,False,,
20130305,Identity Thief TV ad - Chase,BimdmXctLzg,www.identitythiefmovie.com.au,False,,
20130617,Despicable Me 2 - A Look Inside with Steve Carell,0wx3uARcZzc,www.despicablememovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20130701,Despicable Me 2 - The Songs Of Pharrell Williams,QHwmyvTzkt0,www.despicablememovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20130701,Despicable Me 2 - Gru The Doting Dad,aaQMrlnR1x4,www.despicablememovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20130626,Despicable Me 2  - Singing Minions,ivCoNXrZ6Kc,www.despicablememovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20130619,Despicable Me 2 - Meet Lucy Wilde,gCnm0RYyXnU,www.despicablememovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20130614,Despicable Me 2 - Steve Carell Explains 3D Animation,U8fRuC6ddJs,www.despicablememovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20130320,DESPICABLE ME 2 Trailer -- Official HD,Wesw7vTC1Co,www.despicablememovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20130806,Kick Ass 2 - A Look Inside *Redband Clip*,79vH9jO0mxs,www.kickass2movie.com.au,False,,
20130820,Kick Ass 2 - Aaron Taylor-Johnson Is Kick-Ass,tipqW8QJ8yU,www.kickass2movie.com.au,False,,
20130328,Kick Ass 2 - Restricted Trailer,RCHUH2U2W-s,www.kickass2movie.com.au,False,,
20130810,Kick Ass 2 - 60 Second Trailer,YHB58mIU5BY,www.kickass2movie.com.au,False,,
20130816,Kick Ass 2 - Super Bitches,Z6oQE1jzRis,www.kickass2movie.com.au,False,,
20130328,Kick Ass 2 - Official Trailer,496UpltB8-8,www.kickass2movie.com.au,False,,
20130410,We Steal Secrets: The Story Of WikiLeaks Offical Trailer,-hgJ3yXRnDQ,www.westealsecretsmovie.com.au,False,,
20130902,R.I.P.D. - Rotisserie,sG09-HCX704,www.ripdmovie.com.au,False,,
20130801,R.I.P.D - On the set: Car destruction,qjO7Sv5hWQw,www.ripdmovie.com.au,False,,
20130422,R.I.P.D. Official Trailer,oQJ-I1OzwXk,www.ripdmovie.com.au,False,,
20130816,R.I.P.D. - A Look Inside,gBp0iAkFVMQ,www.ripdmovie.com.au,False,,
20130826,R.I.P.D. - Dont Tense Up,tv1NK3eI92s,www.ripdmovie.com.au,False,,
20130909,R.I.P.D. - The Frozen World,6-QOIlBEsuk,www.ripdmovie.com.au,False,,
20130508,Fast & Furious 6 World Premiere in London 7th May 2013,kAVPs0ZmGEA,www.fastandfurious6.com.au,False,,
20130426,Fast & Furious 6 - A Look Inside,fbhriQQrhTk,www.fastandfurious6.com.au,False,,
20130614,Fast & Furious 6 - Sydney Drive-in Premiere May 31,9JT1GjAbGQY,www.fastandfurious6.com.au,False,,
20130503,Fast & Furious 6 - Flip Car behind the scenes,4eCM5nNB5aA,www.fastandfurious6.com.au,False,,
20130430,Fast & Furious 6 - Final Trailer,_Fr36dVQrFw,www.fastandfurious6.com.au,False,,
20130718,The World's End - Australian Premiere 16th July 2013,f9HORrjYM0g,www.theworldsendmovie.com.au,False,,
20130509,THE WORLDS END Official International Teaser Trailer [HD],qlv32GnrodA,www.theworldsendmovie.com.au,False,,
20130713,"The World's End - Edgar Wright, Director At Work",4lSzlTlYZs4,www.theworldsendmovie.com.au,False,,
20130713,The World's End - Simon Pegg & Nick Frost,0Tmj6C3AeSk,www.theworldsendmovie.com.au,False,,
20130514,About Time International Trailer - Official,zlU7aqdQhzs,www.abouttimemovie.com.au,False,,
20130903,About Time - The Wedding & The Weather,yAcWtcJiCts,www.abouttimemovie.com.au,False,,
20130809,About Time World Premiere - London - 8th August 2013,Ar6FNUq-h9U,www.abouttimemovie.com.au,False,,
20130905,About Time - A House In Cornwall,j-rOXl4vHm0,www.abouttimemovie.com.au,False,,
20130807,About Time Trailer 2 - Official,aE0VhzTBz1s,www.abouttimemovie.com.au,False,,
20131004,About Time - The love story of Tim & Mary,NCiJd0IQu68,www.abouttimemovie.com.au,False,,
20130906,About Time - Like Father Like Son,a0bDvBxFI7w,www.abouttimemovie.com.au,False,,
20130905,About Time - A Very Personal Film,lDLz_2NJ9eQ,www.abouttimemovie.com.au,False,,
20130723,Last Vegas Extended Trailer - Official,Z-luZ6axPWU,www.lastvegas.com.au,True,LASTVEGAS PTY LTD,
20130517,Last Vegas Teaser Trailer - Official,z1Xi6iax7cM,www.lastvegas.com.au,True,LASTVEGAS PTY LTD,
20131223,47 Ronin - A Look Inside,OX1xS52t5Ng,www.47ronin.com.au,False,,
20140110,47 Ronin - Costume Design,823Uj0UpYdE,www.47ronin.com.au,False,,
20131112,47 RONIN Official International Trailer -- Legend [Universal Pictures] [HD],lFEolcPGrlo,www.47ronin.com.au,False,,
20130729,47 Ronin Official Trailer,SXcnp_EOceQ,www.47ronin.com.au,False,,
20140313,All Is Lost - The Story,gsbMxe5kXVY,www.allislostmovie.com.au,False,,
20130926,All Is Lost - Official Trailer,cS8SdT9P64o,www.allislostmovie.com.au,False,,
20131018,Endless Love Trailer A,QwAXs7T05tk,www.endlesslovemovie.com.au,False,,
20140121,Endless Love Official Trailer C,v2ua2tmTR4g,www.endlesslovemovie.com.au,False,,
20131202,Moshi Monsters The Movie - Official Trailer,E2HVcK6qYVA,www.moshimovie.com.au,False,,
20131219,Bad Neighbours Official Trailer,4zEUuzj3a2g,www.badneighboursmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140422,Bad Neighbours - Seth Rogen sings an Aussie classic,F8FKvhZLw9o,www.badneighboursmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140410,Bad Neighbours - Mac & Kelly meet their new neighbours,NdMOF_1Yu40,www.badneighboursmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140416,Bad Neighbours - A Look Inside *Red Band* Featurette,vsBNHR5tvPE,www.badneighboursmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140502,Bad Neighbours - Babies on Board,6_Z8Xdq6n0g,www.badneighboursmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140408,Bad Neighbours - Restricted Trailer,loSl6oJ7Gng,www.badneighboursmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140415,Bad Neighbours Commercial - In Cinemas May 8,h9TBUbszRVI,www.badneighboursmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140424,Bad Neighbours - Turn it up OR Keep it down?,kK-AwcQPYSw,www.badneighboursmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140130,A Million Ways To Die In The West - Restricted Trailer,KniKvVxaM1o,www.amillionways.com.au,False,,
20140520,A Million Ways To Die In The West - A Look Inside,TnNB6XolyVE,www.amillionways.com.au,False,,
20140501,A Million Ways to Die in The West - Green Band Trailer,Dwk4t-lgDek,www.amillionways.com.au,False,,
20140507,A Million Ways To Die In The West - Trailer 2,NCV5cIGcQBI,www.amillionways.com.au,False,,
20140304,Ride Along Australian Tour with Kevin Hart - Day 1,2rMOBxpbvII,www.ridealongmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140228,Ride Along - Kevin Hart Unhinged,iNGmy5LFjUk,www.ridealongmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140303,Ride Along - Tension On The Set,Nn1Yh1uSNRo,www.ridealongmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140305,Ride Along Australian Tour with Kevin Hart - Day 2,lL4Trj2umms,www.ridealongmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140307,Ride Along Australian Tour with Kevin Hart - Day 3,bHNrUDfPIho,www.ridealongmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140304,Ride Along - Starring Ice Cube & Kevin Hart,LLXiqZ9TH7Y,www.ridealongmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140313,Ride Along Australian Tour with Kevin Hart - Day 4,tuq2v58vytw,www.ridealongmovie.com.au,True,UNIVERSAL PICTURES INTERNATIONAL AUSTRALASIA PTY LTD,
20140703,Get On Up - A Look Inside,qqeDp4JzL8c,www.getonupmovie.com.au,False,,
20140318,Get On Up (2014) - Official Trailer (HD),WJn5b4D4NPY,www.getonupmovie.com.au,False,,
20140716,Get On Up (2014) - Trailer B - Official (HD),2M4JjXfxqpo,www.getonupmovie.com.au,False,,
20140321,Step Up All In - Official Trailer,2lNe9ztWS7g,www.stepupallinmovie.com.au,False,,
20140825,Step Up All In - Dance Battle,BRYEat768Hc,www.stepupallinmovie.com.au,False,,
20140606,Step Up All In - Trailer 2 (Official),Jgz4HA8MtS4,www.stepupallinmovie.com.au,False,,
20140825,Step Up All In - Boxing,OF1hWqzEHSM,www.stepupallinmovie.com.au,False,,
20140825,Step Up All In - Music Video,SpYSRWiaR_0,www.stepupallinmovie.com.au,False,,
20140330,Mrs Brown's Boys D'Movie - Official Trailer,gDMqCbQrPiE,www.mrsbrownsboysmovie.com.au,False,,
20140404,LUCY - Official Trailer,nNQqZumn-gU,www.lucymovie.com.au,True,Search Marketing Group Pty Ltd,
20140425,Boyhood - Official Trailer,b70esOwsOf4,www.boyhoodmovie.com.au,False,,
20140611,The Boxtrolls - International Trailer (Official),uHfkJMILG4U,www.theboxtrolls.com.au,False,,
20150105,Dumb & Dumber To - A Look Inside,5n2MMGlaYYI,www.dumbanddumberto.com.au,False,,
